 mentions, sentiment,sender
[],0.638306201,magazine-montana-cola-lemon
['rainier'],0.009066512,magazine-montana-cola-lemon
[],0.431473583,rainier
[],0.920921862,magazine-montana-cola-lemon
[],0.664051831,rainier
[],0.331986815,rainier
[],0.35944739,magazine-montana-cola-lemon
['rainier'],0.228882268,magazine-montana-cola-lemon
[],0.04138542,rainier
[],0.756795228,magazine-montana-cola-lemon
[],0.569657385,rainier
[],0.965317905,magazine-montana-cola-lemon
[],0.912246585,magazine-montana-cola-lemon
[],0.613870382,rainier
[],0.007893583,magazine-montana-cola-lemon
[],0.955637157,rainier
['rainier'],0.573659658,magazine-montana-cola-lemon
[],0.758318484,rainier
[],0.39641124,rainier
[],0.260551453,magazine-montana-cola-lemon
[],0.91324681,rainier
[],0.443802983,magazine-montana-cola-lemon
[],0.183727652,rainier
[],0.296987563,rainier
[],0.18408981,magazine-montana-cola-lemon
[],0.68086952,rainier
[],0.912255049,magazine-montana-cola-lemon
['rainier'],0.541604817,rainier
[],0.964290738,magazine-montana-cola-lemon
['stairway-quiet-montana-thirteen'],0.723433554,rainier
['magazine-montana-cola-lemon'],0.180710673,magazine-montana-cola-lemon
['stairway-quiet-montana-thirteen'],0.972745657,rainier
[],0.773244381,rainier
[],0.707145154,magazine-montana-cola-lemon
['rainier'],0.478282899,magazine-montana-cola-lemon
[],0.915814757,rainier
['rainier'],0.134898901,magazine-montana-cola-lemon
['magazine-montana-cola-lemon'],0.18349655,rainier
[],0.458520561,magazine-montana-cola-lemon
[],0.841295063,magazine-montana-cola-lemon
[],0.963471889,rainier
[],0.117111742,rainier
[],0.813871264,magazine-montana-cola-lemon
[],0.852939248,magazine-montana-cola-lemon
[],0.549373567,rainier
[],0.744752347,magazine-montana-cola-lemon
[],0.448290139,rainier
[],0.447248012,rainier
[],0.310860902,magazine-montana-cola-lemon
[],0.67040211,rainier
[],0.925241768,magazine-montana-cola-lemon
[],0.385974795,rainier
[],0.749010503,magazine-montana-cola-lemon
[],0.656976819,magazine-montana-cola-lemon
['maine-william-princess-jersey'],0.753318667,rainier
[],0.831330061,magazine-montana-cola-lemon
"['robin-utah-ink-alanine', 'whiskey-steak-papa-golf']",0.82896179,rainier
